source,target,count,stage,start_stage,disease1,disease2,disease3,sex,age_group,simd,n_death,dataset
B182,G459,15,d1-d2,d1,B182,G459,,All,All,All,<5,trj5.csv
C01X,C770,37,d1-d2,d1,C01X,C770,,All,All,All,11,trj5.csv
C021,C770,9,d1-d2,d1,C021,C770,,All,All,All,5,trj5.csv
C029,C770,15,d1-d2,d1,C029,C770,,All,All,All,10,trj5.csv
C07X,C770,5,d1-d2,d1,C07X,C770,,All,All,All,<5,trj5.csv
C099,C770,40,d1-d2,d1,C099,C770,,All,All,All,5,trj5.csv
C109,C770,7,d1-d2,d1,C109,C770,,All,All,All,<5,trj5.csv
C12X,C770,9,d1-d2,d1,C12X,C770,,All,All,All,7,trj5.csv
C154,C771,5,d1-d2,d1,C154,C771,,All,All,All,<5,trj5.csv
C154,C780,5,d1-d2,d1,C154,C780,,All,All,All,5,trj5.csv
C155,C771,7,d1-d2,d1,C155,C771,,All,All,All,7,trj5.csv
C155,C780,9,d1-d2,d1,C155,C780,,All,All,All,9,trj5.csv
C155,C787,25,d1-d2,d1,C155,C787,,All,All,All,24,trj5.csv
C159,C771,6,d1-d2,d1,C159,C771,,All,All,All,5,trj5.csv
C159,C772,6,d1-d2,d1,C159,C772,,All,All,All,6,trj5.csv
C159,C779,6,d1-d2,d1,C159,C779,,All,All,All,6,trj5.csv
C159,C780,16,d1-d2,d1,C159,C780,,All,All,All,16,trj5.csv
C159,C786,10,d1-d2,d1,C159,C786,,All,All,All,10,trj5.csv
C159,C787,60,d1-d2,d1,C159,C787,,All,All,All,58,trj5.csv
C159,C793,13,d1-d2,d1,C159,C793,,All,All,All,13,trj5.csv
C159,C795,22,d1-d2,d1,C159,C795,,All,All,All,22,trj5.csv
C169,C772,11,d1-d2,d1,C169,C772,,All,All,All,11,trj5.csv
C169,C780,10,d1-d2,d1,C169,C780,,All,All,All,10,trj5.csv
C169,C786,17,d1-d2,d1,C169,C786,,All,All,All,17,trj5.csv
C169,C787,48,d1-d2,d1,C169,C787,,All,All,All,48,trj5.csv
C169,C788,10,d1-d2,d1,C169,C788,,All,All,All,10,trj5.csv
C169,C80X,14,d1-d2,d1,C169,C80X,,All,All,All,14,trj5.csv
C169 D,C787,5,d1-d2,d1,C169 D,C787,,All,All,All,5,trj5.csv
C170,C787,9,d1-d2,d1,C170,C787,,All,All,All,9,trj5.csv
C172,C772,9,d1-d2,d1,C172,C772,,All,All,All,<5,trj5.csv
C172,C787,5,d1-d2,d1,C172,C787,,All,All,All,<5,trj5.csv
C180,C772,33,d1-d2,d1,C180,C772,,All,All,All,17,trj5.csv
C180,C779,7,d1-d2,d1,C180,C779,,All,All,All,<5,trj5.csv
C180,C780,19,d1-d2,d1,C180,C780,,All,All,All,17,trj5.csv
C180,C786,19,d1-d2,d1,C180,C786,,All,All,All,17,trj5.csv
C180,C787,89,d1-d2,d1,C180,C787,E119,All,All,All,5,trj5.csv
C787,E119,5,d2-d3,d2,C180,C787,E119,All,All,All,5,trj5.csv
C180,C787,89,d1-d2,d1,C180,C787,,All,All,All,76,trj5.csv
C180,C80X,9,d1-d2,d1,C180,C80X,,All,All,All,9,trj5.csv
C181,C786,14,d1-d2,d1,C181,C786,,All,All,All,7,trj5.csv
C182,C772,15,d1-d2,d1,C182,C772,,All,All,All,6,trj5.csv
C182,C780,6,d1-d2,d1,C182,C780,,All,All,All,6,trj5.csv
C182,C787,31,d1-d2,d1,C182,C787,,All,All,All,29,trj5.csv
C183,C772,7,d1-d2,d1,C183,C772,,All,All,All,<5,trj5.csv
C183,C787,13,d1-d2,d1,C183,C787,,All,All,All,10,trj5.csv
C184,C772,12,d1-d2,d1,C184,C772,,All,All,All,7,trj5.csv
C184,C786,5,d1-d2,d1,C184,C786,,All,All,All,5,trj5.csv
C184,C787,13,d1-d2,d1,C184,C787,,All,All,All,10,trj5.csv
C185,C772,5,d1-d2,d1,C185,C772,,All,All,All,<5,trj5.csv
C185,C786,5,d1-d2,d1,C185,C786,,All,All,All,<5,trj5.csv
C185,C787,12,d1-d2,d1,C185,C787,,All,All,All,12,trj5.csv
C186,C787,17,d1-d2,d1,C186,C787,,All,All,All,11,trj5.csv
C187,C772,46,d1-d2,d1,C187,C772,,All,All,All,19,trj5.csv
C187,C779,16,d1-d2,d1,C187,C779,,All,All,All,<5,trj5.csv
C187,C780,33,d1-d2,d1,C187,C780,,All,All,All,29,trj5.csv
C187,C786,26,d1-d2,d1,C187,C786,,All,All,All,22,trj5.csv
C187,C787,95,d1-d2,d1,C187,C787,,All,All,All,81,trj5.csv
C187,C80X,13,d1-d2,d1,C187,C80X,,All,All,All,13,trj5.csv
C187,G309 D,6,d1-d2,d1,C187,G309 D,,All,All,All,6,trj5.csv
C189,C780,30,d1-d2,d1,C189,C780,,All,All,All,28,trj5.csv
C189,C785,22,d1-d2,d1,C189,C785,,All,All,All,22,trj5.csv
C189,C787,125,d1-d2,d1,C189,C787,E119,All,All,All,6,trj5.csv
C787,E119,6,d2-d3,d2,C189,C787,E119,All,All,All,6,trj5.csv
C189,C787,125,d1-d2,d1,C189,C787,,All,All,All,114,trj5.csv
C189,C796,6,d1-d2,d1,C189,C796,,All,All,All,5,trj5.csv
C189,C798,9,d1-d2,d1,C189,C798,,All,All,All,9,trj5.csv
C189,C80X,25,d1-d2,d1,C189,C80X,,All,All,All,25,trj5.csv
C19X,C772,11,d1-d2,d1,C19X,C772,,All,All,All,<5,trj5.csv
C19X,C780,40,d1-d2,d1,C19X,C780,,All,All,All,33,trj5.csv
C19X,C785,9,d1-d2,d1,C19X,C785,,All,All,All,9,trj5.csv
C19X,C786,19,d1-d2,d1,C19X,C786,,All,All,All,19,trj5.csv
C19X,C787,92,d1-d2,d1,C19X,C787,E119,All,All,All,<5,trj5.csv
C787,E119,5,d2-d3,d2,C19X,C787,E119,All,All,All,<5,trj5.csv
C19X,C787,92,d1-d2,d1,C19X,C787,,All,All,All,83,trj5.csv
C19X,C80X,7,d1-d2,d1,C19X,C80X,,All,All,All,7,trj5.csv
C20X,C772,24,d1-d2,d1,C20X,C772,,All,All,All,7,trj5.csv
C20X,C775,31,d1-d2,d1,C20X,C775,,All,All,All,9,trj5.csv
C20X,C779,12,d1-d2,d1,C20X,C779,,All,All,All,<5,trj5.csv
C20X,C780,72,d1-d2,d1,C20X,C780,,All,All,All,60,trj5.csv
