Source,Target,Count,Stage
L03,J18,13597.0,d1-d2
J18,J69,541.0,d2-d3
L03,A04,2398.0,d1-d2
L03,F01,2448.0,d1-d2
F01,J69,169.0,d2-d3
L03,A41,10961.0,d1-d2
L03,M86,2512.0,d1-d2
L03,J96,3028.0,d1-d2
L03,L89,2065.0,d1-d2
L03,J10,738.0,d1-d2
L03,J15,798.0,d1-d2
L03,K72,666.0,d1-d2
I10,N17,46891.0,d1-d2
N17,F39,137.0,d2-d3
I10,N17,46891.0,d1-d2
N17,J69,1687.0,d2-d3
I10,J22,56594.0,d1-d2
J22,J96,1978.0,d2-d3
I10,J22,56594.0,d1-d2
J22,J69,2046.0,d2-d3
I10,J22,56594.0,d1-d2
J22,I46,947.0,d2-d3
I10,J22,56594.0,d1-d2
J22,F39,127.0,d2-d3
I10,J22,56594.0,d1-d2
J22,J18,8363.0,d2-d3
J18,J69,379.0,d3-d4
I10,J22,56594.0,d1-d2
J22,J15,619.0,d2-d3
I10,K92,23036.0,d1-d2
K92,J18,2424.0,d2-d3
J18,J69,97.0,d3-d4
I10,K92,23036.0,d1-d2
K92,A41,1414.0,d2-d3
I10,K92,23036.0,d1-d2
K92,J69,841.0,d2-d3
I10,K92,23036.0,d1-d2
K92,G93,138.0,d2-d3
I10,K92,23036.0,d1-d2
K92,I46,448.0,d2-d3
I10,K92,23036.0,d1-d2
K92,K72,199.0,d2-d3
I10,K92,23036.0,d1-d2
K92,I97,36.0,d2-d3
I10,J81,10442.0,d1-d2
I10,B95,15466.0,d1-d2
B95,I46,339.0,d2-d3
I10,B95,15466.0,d1-d2
B95,J69,468.0,d2-d3
I10,I26,12327.0,d1-d2
I26,D68,109.0,d2-d3
I10,F06,10060.0,d1-d2
F06,F00,460.0,d2-d3
F00,J69,22.0,d3-d4
I10,F06,10060.0,d1-d2
F06,F03,1962.0,d2-d3
F03,F00,109.0,d3-d4
I10,F06,10060.0,d1-d2
F06,F03,1962.0,d2-d3
F03,G30,132.0,d3-d4
I10,F06,10060.0,d1-d2
F06,F03,1962.0,d2-d3
F03,J69,129.0,d3-d4
I10,F06,10060.0,d1-d2
F06,F03,1962.0,d2-d3
F03,F01,174.0,d3-d4
I10,F06,10060.0,d1-d2
F06,F01,1095.0,d2-d3
F01,J69,79.0,d3-d4
I10,F06,10060.0,d1-d2
F06,F02,76.0,d2-d3
I10,F06,10060.0,d1-d2
F06,A41,720.0,d2-d3
I10,F06,10060.0,d1-d2
F06,J69,602.0,d2-d3
I10,F06,10060.0,d1-d2
F06,G30,629.0,d2-d3
G30,J69,30.0,d3-d4
I10,J90,20546.0,d1-d2
J90,J69,545.0,d2-d3
I10,J90,20546.0,d1-d2
J90,J91,898.0,d2-d3
J91,I46,21.0,d3-d4
I10,J90,20546.0,d1-d2
J90,I46,424.0,d2-d3
I10,J98,10718.0,d1-d2
J98,I46,186.0,d2-d3
I10,J98,10718.0,d1-d2
J98,J69,257.0,d2-d3
I10,F01,12447.0,d1-d2
F01,J69,788.0,d2-d3
I10,F05,16993.0,d1-d2
F05,J69,1007.0,d2-d3
I10,D64,36294.0,d1-d2
D64,A41,2782.0,d2-d3
I10,D64,36294.0,d1-d2
D64,A49,676.0,d2-d3
I10,D64,36294.0,d1-d2
D64,J18,4673.0,d2-d3
J18,J69,158.0,d3-d4
I10,D64,36294.0,d1-d2
D64,D63,789.0,d2-d3
I10,D64,36294.0,d1-d2
D64,J69,915.0,d2-d3
I10,D64,36294.0,d1-d2
D64,G93,159.0,d2-d3
I10,D64,36294.0,d1-d2
D64,C26,98.0,d2-d3
I10,D64,36294.0,d1-d2
D64,J96,749.0,d2-d3
I10,D64,36294.0,d1-d2
D64,D59,78.0,d2-d3
I10,D64,36294.0,d1-d2
D64,I46,623.0,d2-d3
I10,D64,36294.0,d1-d2
D64,D53,165.0,d2-d3
I10,D64,36294.0,d1-d2
D64,K72,155.0,d2-d3
I10,D64,36294.0,d1-d2
D64,J17,79.0,d2-d3
I10,B96,32672.0,d1-d2
B96,I46,470.0,d2-d3
I10,B96,32672.0,d1-d2
B96,J69,1014.0,d2-d3
I10,I27,6773.0,d1-d2
I27,A41,422.0,d2-d3
I10,I27,6773.0,d1-d2
I27,I46,205.0,d2-d3
I10,I46,7981.0,d1-d2
I10,A09,12259.0,d1-d2
A09,J69,369.0,d2-d3
I10,E83,7457.0,d1-d2
E83,J69,198.0,d2-d3
I10,E83,7457.0,d1-d2
E83,D35,186.0,d2-d3
I10,E83,7457.0,d1-d2
E83,I46,117.0,d2-d3
I10,I12,7998.0,d1-d2
I12,A41,765.0,d2-d3
I10,I12,7998.0,d1-d2
I12,J18,1252.0,d2-d3
J18,J69,32.0,d3-d4
I10,I12,7998.0,d1-d2
I12,A49,195.0,d2-d3
I10,I12,7998.0,d1-d2
I12,I46,193.0,d2-d3
I10,I12,7998.0,d1-d2
I12,B95,518.0,d2-d3
B95,I46,27.0,d3-d4
I10,I87,2137.0,d1-d2
I87,A41,195.0,d2-d3
I10,L08,3690.0,d1-d2
I10,K66,3971.0,d1-d2
I10,J10,2557.0,d1-d2
I10,M86,1944.0,d1-d2
I10,I11,1402.0,d1-d2
I10,I89,1536.0,d1-d2
I10,N99,1316.0,d1-d2
I10,N39,69803.0,d1-d2
N39,F01,3315.0,d2-d3
F01,J69,214.0,d3-d4
I10,N39,69803.0,d1-d2
N39,J18,8907.0,d2-d3
J18,J69,405.0,d3-d4
I10,N39,69803.0,d1-d2
N39,J69,2412.0,d2-d3
I10,N39,69803.0,d1-d2
N39,J10,370.0,d2-d3
I10,N39,69803.0,d1-d2
N39,L89,939.0,d2-d3
I10,N39,69803.0,d1-d2
N39,J15,407.0,d2-d3
I10,N39,69803.0,d1-d2
N39,F02,291.0,d2-d3
I10,N39,69803.0,d1-d2
N39,J17,130.0,d2-d3
I10,E87,33676.0,d1-d2
E87,J69,1018.0,d2-d3
I10,E87,33676.0,d1-d2
E87,I46,698.0,d2-d3
I10,I69,12012.0,d1-d2
I69,J69,620.0,d2-d3
I10,I69,12012.0,d1-d2
I69,E86,491.0,d2-d3
E86,J69,46.0,d3-d4
I10,I69,12012.0,d1-d2
I69,N17,817.0,d2-d3
N17,J69,64.0,d3-d4
I10,I69,12012.0,d1-d2
I69,J18,1531.0,d2-d3
J18,J69,96.0,d3-d4
I10,I69,12012.0,d1-d2
I69,A41,721.0,d2-d3
I10,L97,9784.0,d1-d2
L97,A41,1206.0,d2-d3
I10,L97,9784.0,d1-d2
L97,J18,1428.0,d2-d3
J18,J69,48.0,d3-d4
I10,L97,9784.0,d1-d2
L97,I46,209.0,d2-d3
I10,L97,9784.0,d1-d2
L97,J96,300.0,d2-d3
I10,L97,9784.0,d1-d2
L97,J69,275.0,d2-d3
I10,I67,34474.0,d1-d2
I67,I46,484.0,d2-d3
I10,I67,34474.0,d1-d2
I67,A41,2026.0,d2-d3
I10,I67,34474.0,d1-d2
I67,J69,1675.0,d2-d3
I10,I95,25548.0,d1-d2
I95,J69,804.0,d2-d3
I10,I95,25548.0,d1-d2
I95,F03,1725.0,d2-d3
F03,F00,113.0,d3-d4
I10,I95,25548.0,d1-d2
I95,F03,1725.0,d2-d3
F03,F01,184.0,d3-d4
I10,I95,25548.0,d1-d2
I95,F03,1725.0,d2-d3
F03,G30,147.0,d3-d4
I10,I95,25548.0,d1-d2
I95,F03,1725.0,d2-d3
F03,J69,114.0,d3-d4
I10,I95,25548.0,d1-d2
I95,F03,1725.0,d2-d3
F03,F02,20.0,d3-d4
I10,I95,25548.0,d1-d2
I95,F00,443.0,d2-d3
F00,J69,22.0,d3-d4
I10,I95,25548.0,d1-d2
I95,F05,1552.0,d2-d3
F05,J69,132.0,d3-d4
I10,I95,25548.0,d1-d2
I95,J18,3350.0,d2-d3
J18,J69,168.0,d3-d4
I10,I95,25548.0,d1-d2
I95,F01,1012.0,d2-d3
F01,J69,71.0,d3-d4
I10,I95,25548.0,d1-d2
I95,I62,148.0,d2-d3
I10,I95,25548.0,d1-d2
I95,F39,87.0,d2-d3
I10,I95,25548.0,d1-d2
I95,L89,221.0,d2-d3
I10,I95,25548.0,d1-d2
I95,F02,123.0,d2-d3
I10,N19,16472.0,d1-d2
N19,N18,3237.0,d2-d3
N18,A41,340.0,d3-d4
I10,N19,16472.0,d1-d2
N19,N18,3237.0,d2-d3
N18,K65,72.0,d3-d4
I10,N19,16472.0,d1-d2
N19,N18,3237.0,d2-d3
N18,B95,208.0,d3-d4
I10,N19,16472.0,d1-d2
N19,N18,3237.0,d2-d3
N18,N25,42.0,d3-d4
I10,N19,16472.0,d1-d2
N19,N18,3237.0,d2-d3
N18,I46,105.0,d3-d4
I10,N19,16472.0,d1-d2
N19,N18,3237.0,d2-d3
N18,F05,115.0,d3-d4
I10,N19,16472.0,d1-d2
N19,N18,3237.0,d2-d3
N18,A49,105.0,d3-d4
I10,N19,16472.0,d1-d2
N19,N18,3237.0,d2-d3
N18,L89,31.0,d3-d4
I10,N19,16472.0,d1-d2
N19,N18,3237.0,d2-d3
N18,E21,53.0,d3-d4
I10,N19,16472.0,d1-d2
N19,I12,1048.0,d2-d3
I12,J18,158.0,d3-d4
I10,N19,16472.0,d1-d2
N19,I12,1048.0,d2-d3
I12,A41,139.0,d3-d4
I10,N19,16472.0,d1-d2
N19,I12,1048.0,d2-d3
I12,K65,43.0,d3-d4
I10,N19,16472.0,d1-d2
N19,I12,1048.0,d2-d3
I12,A49,39.0,d3-d4
I10,N19,16472.0,d1-d2
N19,I12,1048.0,d2-d3
I12,I46,30.0,d3-d4
I10,N19,16472.0,d1-d2
N19,I12,1048.0,d2-d3
I12,F05,30.0,d3-d4
I10,N19,16472.0,d1-d2
N19,I12,1048.0,d2-d3
I12,F01,25.0,d3-d4
I10,N19,16472.0,d1-d2
N19,I12,1048.0,d2-d3
I12,B95,105.0,d3-d4
I10,N19,16472.0,d1-d2
N19,I46,435.0,d2-d3
I10,N19,16472.0,d1-d2
N19,N17,2011.0,d2-d3
N17,J69,47.0,d3-d4
I10,N19,16472.0,d1-d2
N19,N03,270.0,d2-d3
N03,A41,24.0,d3-d4
I10,N19,16472.0,d1-d2
N19,N03,270.0,d2-d3
N03,J18,35.0,d3-d4
I10,E16,6225.0,d1-d2
E16,A41,610.0,d2-d3
I10,E16,6225.0,d1-d2
E16,I46,141.0,d2-d3
I10,E16,6225.0,d1-d2
E16,F01,226.0,d2-d3
F01,J69,27.0,d3-d4
I10,E16,6225.0,d1-d2
E16,J69,218.0,d2-d3
I10,A08,3855.0,d1-d2
I10,I22,4888.0,d1-d2
I10,N03,3713.0,d1-d2
N03,A41,299.0,d2-d3
I10,N03,3713.0,d1-d2
N03,J18,551.0,d2-d3
J18,J69,22.0,d3-d4
I10,N08,2414.0,d1-d2
N08,A41,329.0,d2-d3
I10,N08,2414.0,d1-d2
N08,B95,301.0,d2-d3
B95,I46,26.0,d3-d4
I10,N25,685.0,d1-d2
K29,H26,12850.0,d1-d2
H26,H27,37.0,d2-d3
K29,H26,12850.0,d1-d2
H26,H44,43.0,d2-d3
K29,K82,2146.0,d1-d2
K29,C25,1109.0,d1-d2
C25,C78,443.0,d2-d3
C78,A41,26.0,d3-d4
K29,C25,1109.0,d1-d2
C25,K31,75.0,d2-d3
K31,C78,23.0,d3-d4
K29,C25,1109.0,d1-d2
C25,K83,159.0,d2-d3
K29,C25,1109.0,d1-d2
C25,K86,109.0,d2-d3
K86,C78,26.0,d3-d4
K29,C25,1109.0,d1-d2
C25,A41,73.0,d2-d3
K29,C25,1109.0,d1-d2
C25,I26,45.0,d2-d3
K29,C25,1109.0,d1-d2
C25,K56,30.0,d2-d3
K29,C22,991.0,d1-d2
C22,A41,77.0,d2-d3
K29,C22,991.0,d1-d2
C22,K72,52.0,d2-d3
K29,K66,1983.0,d1-d2
K29,G62,1207.0,d1-d2
G62,A41,103.0,d2-d3
K29,G62,1207.0,d1-d2
G62,J69,49.0,d2-d3
K29,K75,883.0,d1-d2
K29,K65,1565.0,d1-d2
K65,I46,38.0,d2-d3
K29,K65,1565.0,d1-d2
K65,K43,48.0,d2-d3
K29,K72,1646.0,d1-d2
K29,K81,4340.0,d1-d2
K81,K43,83.0,d2-d3
K29,K81,4340.0,d1-d2
K81,K91,42.0,d2-d3
K29,K86,2992.0,d1-d2
K86,A41,214.0,d2-d3
K29,K83,3898.0,d1-d2
K83,K66,98.0,d2-d3
K29,C18,3694.0,d1-d2
C18,C78,947.0,d2-d3
C78,D70,37.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C78,947.0,d2-d3
C78,A41,53.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C19,347.0,d2-d3
C19,C79,37.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C19,347.0,d2-d3
C19,K52,21.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C19,347.0,d2-d3
C19,C80,32.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C19,347.0,d2-d3
C19,K56,32.0,d3-d4
K29,C18,3694.0,d1-d2
C18,D12,505.0,d2-d3
D12,C78,80.0,d3-d4
K29,C18,3694.0,d1-d2
C18,D12,505.0,d2-d3
D12,K56,29.0,d3-d4
K29,C18,3694.0,d1-d2
C18,D12,505.0,d2-d3
D12,C77,41.0,d3-d4
K29,C18,3694.0,d1-d2
C18,D12,505.0,d2-d3
D12,K91,24.0,d3-d4
K29,C18,3694.0,d1-d2
C18,D12,505.0,d2-d3
D12,K66,20.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C26,112.0,d2-d3
K29,C18,3694.0,d1-d2
C18,K56,367.0,d2-d3
K29,C18,3694.0,d1-d2
C18,A04,70.0,d2-d3
K29,C18,3694.0,d1-d2
C18,D63,284.0,d2-d3
K29,C18,3694.0,d1-d2
C18,E86,117.0,d2-d3
K29,C18,3694.0,d1-d2
C18,K63,399.0,d2-d3
K63,C78,65.0,d3-d4
K29,C18,3694.0,d1-d2
C18,K43,100.0,d2-d3
K29,C18,3694.0,d1-d2
C18,C77,399.0,d2-d3
C77,K56,38.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C77,399.0,d2-d3
C77,K52,30.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C77,399.0,d2-d3
C77,D64,35.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C77,399.0,d2-d3
C77,K59,30.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C77,399.0,d2-d3
C77,A41,28.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C77,399.0,d2-d3
C77,J18,30.0,d3-d4
K29,C18,3694.0,d1-d2
C18,C77,399.0,d2-d3
C77,J22,28.0,d3-d4
K29,C18,3694.0,d1-d2
C18,K66,146.0,d2-d3
K29,C18,3694.0,d1-d2
C18,I26,104.0,d2-d3
K29,C18,3694.0,d1-d2
C18,K59,224.0,d2-d3
K59,J18,20.0,d3-d4
K29,C18,3694.0,d1-d2
C18,K76,90.0,d2-d3
K76,C78,27.0,d3-d4
K29,C18,3694.0,d1-d2
C18,A41,211.0,d2-d3
K29,C18,3694.0,d1-d2
C18,I97,26.0,d2-d3
K29,C18,3694.0,d1-d2
C18,A49,47.0,d2-d3
K29,K74,3000.0,d1-d2
K74,J69,68.0,d2-d3
K29,K74,3000.0,d1-d2
K74,G93,164.0,d2-d3
K29,K74,3000.0,d1-d2
K74,K72,382.0,d2-d3
K29,K74,3000.0,d1-d2
K74,N19,151.0,d2-d3
N19,N18,26.0,d3-d4
K29,K74,3000.0,d1-d2
K74,N19,151.0,d2-d3
N19,N17,26.0,d3-d4
K29,K74,3000.0,d1-d2
K74,A41,273.0,d2-d3
K29,K55,3085.0,d1-d2
K55,K91,61.0,d2-d3
K29,A09,5930.0,d1-d2
A09,J69,155.0,d2-d3
K29,K64,1961.0,d1-d2
K29,D61,758.0,d1-d2
K29,D73,521.0,d1-d2
K29,D46,650.0,d1-d2
D46,A41,80.0,d2-d3
K29,D46,650.0,d1-d2
D46,J22,95.0,d2-d3
J22,J18,21.0,d3-d4
K29,D46,650.0,d1-d2
D46,D63,48.0,d2-d3
K29,D46,650.0,d1-d2
D46,D70,40.0,d2-d3
K29,C26,435.0,d1-d2
K29,E46,650.0,d1-d2
I25,J90,16414.0,d1-d2
J90,I46,372.0,d2-d3
I25,J90,16414.0,d1-d2
J90,J69,356.0,d2-d3
I25,K92,14809.0,d1-d2
K92,J69,440.0,d2-d3
I25,K92,14809.0,d1-d2
K92,I97,48.0,d2-d3
I25,K92,14809.0,d1-d2
K92,J18,1603.0,d2-d3
J18,J69,54.0,d3-d4
I25,K92,14809.0,d1-d2
K92,A41,823.0,d2-d3
I25,K92,14809.0,d1-d2
K92,I46,365.0,d2-d3
I25,K92,14809.0,d1-d2
K92,K72,99.0,d2-d3
I25,K92,14809.0,d1-d2
K92,G93,63.0,d2-d3
I25,J18,36951.0,d1-d2
J18,J69,1061.0,d2-d3
I25,J96,7522.0,d1-d2
I25,K55,3307.0,d1-d2
K55,K91,66.0,d2-d3
I25,A08,2024.0,d1-d2
